,Text,Date
118,RT @chakravartiin: If you are such a great proponent of feminism start at home resign your posts as PMs &amp; CMs of country as MPs &amp; MLAs and…,2023-05-07 06:03:57+00:00
119,"RT @TheAblebaee_: Again, before we knew the term ""feminism"" , we despised maltreatment and inequality in regards to women.

I've always bee…",2023-05-07 06:03:07+00:00
120,"@FightHaven Wonder woman is fiction and no officer, especially a female officer should ever be alone when attending… https://t.co/jmxbbm7F0u",2023-05-07 06:03:03+00:00
121,"I am with the feminism that follows 100% non reproduction.
#antinatalism",2023-05-07 06:02:40+00:00
122,RT @soitfuckingoes: feminism leaving my body when i listen to better than revenge (taylor's version) https://t.co/XOW6eJ1V0Q,2023-05-07 06:02:14+00:00
123,"RT @its_daqueen: Well, that's to tell you that feminism is just common sense and none of these roles are ""natural"" and ""God made"". They are…",2023-05-07 06:02:11+00:00
124,"Dobby: Yeah, well it used to be all pink and tidy but then feminism happened and we all just started pissing on the… https://t.co/XByYBuJW5a",2023-05-07 06:02:06+00:00
125,RT @chakravartiin: If you are such a great proponent of feminism start at home resign your posts as PMs &amp; CMs of country as MPs &amp; MLAs and…,2023-05-07 06:02:04+00:00
126,"RT @Behembaba: This is Queen Elizabeth I, who in 1562 authorized the beginning of the Transatlantic Slave Trade which in turn lead to the d…",2023-05-07 06:02:04+00:00
127,@jocc_godbody24 @Christo68357610 @IAMLEGENDARYMO @yourfavcreole Corporate America that was created by and for WM al… https://t.co/m4g13JTB20,2023-05-07 06:01:36+00:00
128,RT @soitfuckingoes: feminism leaving my body when i listen to better than revenge (taylor's version) https://t.co/XOW6eJ1V0Q,2023-05-07 06:01:07+00:00
129,RT @tayspetsch: feminism leaving my body the moment i listen to better than revenge (taylor’s version) https://t.co/V6fHlReVHp,2023-05-07 06:00:52+00:00
130,"RT @LWCSBoston: After earning her PhD, Grace Lee Boggs struggled to find sustaining work &amp; housing due to racism. She moved to #Detroit &amp; m…",2023-05-07 06:00:48+00:00
131,RT @JamalThaRebel: salah satu contoh feminism ni tak guna ambik contoh peperangan Ukraine &amp; Russia. men can't leave &amp; dying everyday while…,2023-05-07 06:00:43+00:00
132,"RT @its_daqueen: When you actually deep it feminism really is the default setting. Like it's literally common sense, so much so that even b…",2023-05-07 06:00:41+00:00
133,"RT @QuetzaTheQueer: TL;DR im begging people to read Judith Butler, Bell Hooks, Fiorenza, Angela Davis, etc.

Can't do a Feminism unless you…",2023-05-07 06:00:22+00:00
